transaction_id,customer_id,merchant,amount,transaction_type,country,status,timestamp,is_fraud,high_risk_transaction,international_transaction,suspicious_activity
1,2736,"Ortiz, Macdonald and Mitchell",3945.98,transfer,CA,declined,2026-05-24 13:50:16.570479,0,True,True,True
2,2584,Freeman Group,2913.83,withdrawal,CA,declined,2026-05-24 13:50:16.570705,0,False,True,False
3,3607,"Ford, Russell and Montoya",3196.72,purchase,CA,approved,2026-05-24 13:50:16.571364,0,True,True,True
4,1618,Mejia LLC,2074.77,purchase,CA,declined,2026-05-24 13:50:16.571563,0,False,True,False
5,2424,"Gordon, Bailey and Reed",980.86,withdrawal,US,declined,2026-05-24 13:50:16.572016,0,False,False,False
6,4944,"Baker, Espinoza and Mcintosh",964.98,purchase,UK,approved,2026-05-24 13:50:16.572686,1,False,True,False
7,1992,"Oneill, Clark and Webb",3665.81,withdrawal,US,declined,2026-05-24 13:50:16.573147,0,True,False,False
8,2129,Fuentes Ltd,4650.28,withdrawal,US,approved,2026-05-24 13:50:16.573326,0,True,False,False
9,1306,Davis-Jones,496.09,transfer,US,approved,2026-05-24 13:50:16.573624,0,False,False,False
10,2800,Hernandez Group,2626.76,purchase,NG,approved,2026-05-24 13:50:16.573794,1,False,True,False
11,4168,Medina-Russell,2004.86,purchase,CA,declined,2026-05-24 13:50:16.574096,1,False,True,False
12,2721,Herrera-Krueger,2915.65,transfer,NG,declined,2026-05-24 13:50:16.574395,0,False,True,False
13,2813,Young-Gray,3657.74,transfer,UK,declined,2026-05-24 13:50:16.574691,0,True,True,True
14,1635,"Erickson, Johnson and Price",1244.6,transfer,US,approved,2026-05-24 13:50:16.575140,0,False,False,False
15,2467,Brown-Stevenson,3458.5,transfer,US,declined,2026-05-24 13:50:16.575366,0,True,False,False
16,4989,Green Ltd,2998.31,withdrawal,US,approved,2026-05-24 13:50:16.575493,0,False,False,False
17,3382,"Porter, Ritter and White",1815.61,withdrawal,UK,approved,2026-05-24 13:50:16.575824,0,False,True,False
18,4223,Bryant Inc,4564.83,transfer,CA,approved,2026-05-24 13:50:16.575952,1,True,True,True
19,4758,Castro-Dickson,347.74,withdrawal,UK,approved,2026-05-24 13:50:16.576199,0,False,True,False
20,4798,Montes-Williams,1851.84,withdrawal,UK,declined,2026-05-24 13:50:16.576433,0,False,True,False
21,1973,Wright LLC,3713.44,withdrawal,US,declined,2026-05-24 13:50:16.576562,0,True,False,False
22,3686,"Knox, Thompson and Smith",3401.68,transfer,NG,approved,2026-05-24 13:50:16.576898,0,True,True,True
23,4233,Erickson Group,444.39,purchase,US,declined,2026-05-24 13:50:16.577027,0,False,False,False
24,2172,Brown LLC,3259.55,purchase,CA,approved,2026-05-24 13:50:16.577152,1,True,True,True
25,3837,Mendez-Mendoza,1042.3,withdrawal,CA,approved,2026-05-24 13:50:16.577377,0,False,True,False
26,4322,Tran Inc,4554.02,withdrawal,CA,approved,2026-05-24 13:50:16.577505,0,True,True,True
27,2900,Farmer-Ruiz,3053.9,purchase,CA,declined,2026-05-24 13:50:16.577732,0,True,True,True
28,1872,Lane-Hill,3347.27,transfer,CA,declined,2026-05-24 13:50:16.577958,0,True,True,True
29,3390,Trujillo-Jones,1233.89,withdrawal,US,declined,2026-05-24 13:50:16.578184,0,False,False,False
30,1910,"Stokes, Wallace and Collins",954.41,purchase,CA,approved,2026-05-24 13:50:16.578515,1,False,True,False
31,1079,Smith LLC,3287.82,purchase,NG,approved,2026-05-24 13:50:16.578645,0,True,True,True
32,4348,Martinez Ltd,2107.89,transfer,US,approved,2026-05-24 13:50:16.578773,0,False,False,False
33,1135,Hill PLC,3405.83,withdrawal,NG,declined,2026-05-24 13:50:16.578899,0,True,True,True
34,3365,"Lowe, Davis and Henderson",3541.67,withdrawal,US,declined,2026-05-24 13:50:16.579227,0,True,False,False
35,4010,Martin Ltd,2442.19,withdrawal,US,declined,2026-05-24 13:50:16.579353,0,False,False,False
36,4795,"Rogers, Hernandez and Coleman",4855.37,withdrawal,CA,declined,2026-05-24 13:50:16.579684,0,True,True,True
37,3788,Cochran-Ray,354.88,withdrawal,UK,approved,2026-05-24 13:50:16.579909,0,False,True,False
38,1299,Mason-Anderson,1140.75,purchase,UK,approved,2026-05-24 13:50:16.580132,0,False,True,False
39,4609,"Carter, Jones and Meyers",3091.51,transfer,NG,declined,2026-05-24 13:50:16.580460,0,True,True,True
40,2069,"Smith, Barron and Jones",4317.85,withdrawal,UK,declined,2026-05-24 13:50:16.580788,0,True,True,True
41,4310,Hebert LLC,2095.19,purchase,US,declined,2026-05-24 13:50:16.580920,0,False,False,False
42,4026,"Thompson, Edwards and Thompson",561.17,transfer,UK,approved,2026-05-24 13:50:16.581252,0,False,True,False
43,1150,Erickson-Davis,2483.4,purchase,CA,approved,2026-05-24 13:50:16.581479,0,False,True,False
44,3814,Allen-Walter,776.96,transfer,US,declined,2026-05-24 13:50:16.581702,0,False,False,False
45,3356,Johnson Group,4033.21,transfer,CA,declined,2026-05-24 13:50:16.581884,1,True,True,True
46,2852,Patel-Cameron,3392.65,purchase,NG,approved,2026-05-24 13:50:16.582152,1,True,True,True
47,1975,Lopez-Logan,3813.53,transfer,UK,approved,2026-05-24 13:50:16.582397,1,True,True,True
48,4585,Wright PLC,4975.23,withdrawal,NG,declined,2026-05-24 13:50:16.582531,0,True,True,True
49,4592,Cross-Maldonado,841.63,withdrawal,US,approved,2026-05-24 13:50:16.582759,0,False,False,False
